"1991","4","20005274"
"1991","5","20125638"
"1991","6","20863743"
"1991","7","20694104"
"1991","8","20943716"
"1991","9","20680994"
"1991","10","20362309"
"1991","11","20263020"
"1991","12","19800920"
"1991","13","19563882"
"1991","14","18309424"
"1991","15","18704525"
"1991","16","17203563"
"1991","17","18487856"
"1991","18","18824689"
"1991","19","18121983"
"1991","20","18274999"
"1991","21","19072935"
"1991","22","16028881"
"1991","23","18779705"
"1991","24","19358580"
"1991","25","19148466"
"1991","26","16689925"
"1991","27","13325912"
"1991","28","17716527"
"1991","29","19045437"
"1991","30","19696694"
"1991","31","18779133"
"1991","32","20197754"
"1991","33","20039242"
"1991","34","20442630"
"1991","35","20228666"
"1991","36","17935315"
"1991","37","20767726"
"1991","38","19795785"
"1991","39","19978249"
"1991","40","19318205"
"1991","41","20091689"
"1991","42","20069784"
"1991","43","20504228"
"1991","44","19464578"
"1991","45","19625277"
"1991","46","20094649"
"1991","47","21489427"
"1991","48","15845968"
"1991","49","19453841"
"1991","50","20557144"
"1991","51","20468631"
"1991","52","13162959"
"1991","53","6136412"
"1992","1","9461002"
"1992","2","19818713"
"1992","3","19550580"
"1992","4","20439869"
"1992","5","20301503"
"1992","6","20106782"
"1992","7","19893980"
"1992","8","20588516"
"1992","9","19925985"
"1992","10","19356664"
"1992","11","19870662"
"1992","12","19939962"
"1992","13","20043787"
"1992","14","18031671"
"1992","15","19289034"
"1992","16","18986874"
"1992","17","18857189"
"1992","18","18943073"
"1992","19","19005188"
"1992","20","19221292"
"1992","21","19482907"
"1992","22","17539424"
"1992","23","19365838"
"1992","24","20005021"
"1992","25","19848089"
"1992","26","13931494"
"1992","27","16998323"
"1992","28","16695805"
"1992","29","18026641"
"1992","30","18914407"
"1992","31","18600651"
"1992","32","19172963"
"1992","33","19848342"
"1992","34","20373986"
"1992","35","20064599"
"1992","36","19503368"
"1992","37","18087065"
"1992","38","19866110"
"1992","39","19454555"
"1992","40","18816934"
"1992","41","19258314"
"1992","42","19499380"
"1992","43","19702417"
"1992","44","19421017"
"1992","45","19450422"
"1992","46","20753443"
